Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"E05",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",24.4,ddPCR Supermix for Probes (no dUTP),488,,,27.4,21.5,258,12289,4,254,216,12073,0,12547,,,,,,,,1.17,,,1.39,0.96,54,,,58.5,49.5,1,1,1486,4605.1,461.98,547.17,"",,,,26,22.9,,,,,,,1.28,1.07,,,56.3,51.7,
"F05",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",24.8,ddPCR Supermix for Probes (no dUTP),496,,,27.5,22.1,317,14887,8,309,284,14603,0.154,15204,,,,,,,,1.09,,,1.26,0.91,52.1,,,56,48.1,1,1,1486,4682,468.6,556.44,"",,,,26.2,23.4,,,,,,,1.17,1,,,54.1,50,
"A04",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",22.8,ddPCR Supermix for Probes (no dUTP),456,,,25.8,19.8,222,11347,6,216,186,11161,0.244,11569,,,,,,,,1.16,,,1.38,0.93,53.7,,,58.5,48.9,1,1,1486,4894.5,482.99,567.64,"",,,,24.3,21.3,,,,,,,1.27,1.04,,,56.1,51.2,
"B04",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",24,ddPCR Supermix for Probes (no dUTP),480,,,26.7,21.3,302,14662,4,298,247,14415,0,14964,,,,,,,,1.21,,,1.41,1,54.7,,,58.8,50.5,1,1,1486,4837.8,482.01,569.92,"",,,,25.4,22.6,,,,,,,1.31,1.1,,,56.8,52.5,
"C04",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",21.2,ddPCR Supermix for Probes (no dUTP),424,,,23.7,18.6,273,15049,3,270,275,14774,0,15322,,,,,,,,0.98,,,1.15,0.82,49.5,,,53.7,45.4,1,1,1486,4837.2,479.94,557.57,"",,,,22.4,19.9,,,,,,,1.07,0.9,,,51.7,47.4,
"D04",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",24,ddPCR Supermix for Probes (no dUTP),480,,,27,21,247,11996,6,241,222,11774,0.14,12243,,,,,,,,1.08,,,1.28,0.89,52,,,56.5,47.5,1,1,1486,4721.3,468.85,554.64,"",,,,25.5,22.5,,,,,,,1.18,0.98,,,54.3,49.7,
"E04",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",23.4,ddPCR Supermix for Probes (no dUTP),468,,,26.2,20.5,260,12958,4,256,246,12712,0,13218,,,,,,,,1.04,,,1.22,0.86,51,,,55.3,46.7,1,1,1486,4729.3,470.64,554.41,"",,,,24.8,21.9,,,,,,,1.13,0.95,,,53.2,48.8,
"F04",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",23.4,ddPCR Supermix for Probes (no dUTP),468,,,26.1,20.8,303,15054,6,297,247,14807,0.0801,15357,,,,,,,,1.2,,,1.4,1,54.5,,,58.7,50.4,1,1,1486,4691,466.54,549.89,"",,,,24.8,22.1,,,,,,,1.3,1.1,,,56.6,52.4,
"G04",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",25.1,ddPCR Supermix for Probes (no dUTP),502,,,27.8,22.5,342,15841,11,331,273,15568,0.378,16183,,,,,,,,1.21,,,1.4,1.02,54.7,,,58.6,50.8,1,1,1486,4718.1,469.9,559.68,"",,,,26.5,23.8,,,,,,,1.3,1.11,,,56.7,52.7,
"H04",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",22.4,ddPCR Supermix for Probes (no dUTP),448,,,25.2,19.6,240,12496,3,237,232,12264,0,12736,,,,,,,,1.02,,,1.21,0.84,50.5,,,55,46,1,1,1486,4672.7,462.01,541.36,"",,,,23.8,20.9,,,,,,,1.12,0.93,,,52.8,48.2,
